ID,Entity,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,MainSentiment,Emotion,Cleaned_Text,Sentiment_Score,Sentiment_Predicted
229,Xbox(Xseries)," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",numbness,18-10-2019 14:30, ResilientFortress ,Twitter, #Numbness #StoicResilience               ,11,22, UK            ,2019,10,18,14,Neutral,Numbness,impenetrable numbness shield emotional storm fortress stoic resilience,-0.128,Negative
230,NBA2K," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",melancholy,05-01-2020 20:00, CanvasDreamer     ,Instagram, #Melancholy #BittersweetMemories         ,13,26, USA          ,2020,1,5,20,Other,Melancholy,melancholy painting world hue nostalgia canvas bittersweet memory,-0.4939,Negative
231,Dota18," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",nostalgia,10-08-2018 15:45, DiaryExplorer     ,Facebook, #Nostalgia #DiaryJourney                 ,12,25, Canada        ,2018,8,10,15,Other,Nostalgia,journey past flipping page old diary nostalgia taking lead,0.0,Neutral
232,PlayStation5(PS5)," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",ambivalence,15-01-2022 10:30, CrossroadsTraveler ,Twitter, #Ambivalence #ConflictingEmotions        ,15,30, India         ,2022,1,15,10,Neutral,Ambivalence,ambivalence clouding decision caught crossroad conflicting emotion,-0.4019,Negative
233,WorldOfCraft," Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",acceptance,20-07-2021 16:20, MosaicDreamer     ,Instagram, #Acceptance #BeautifulChaos              ,18,36, Australia     ,2021,7,20,16,Neutral,Acceptance,embracing imperfection finding acceptance mosaic life beautiful chaos,0.4939,Positive
234,Google," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",determination,03-12-2019 13:45, PathfinderSpirit  ,Facebook, #Determination #ExtraordinaryPath        ,20,40, USA          ,2019,12,3,13,Other,Determination,determination driving force propelling forward path extraordinary achievement,0.4019,Positive
235,Facebook," Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",serenity,12-04-2020 19:30, RaindropHarmony   ,Twitter, #Serenity #RaindropMelody                ,25,50, Canada        ,2020,4,12,19,Positive,Serenity,seeking serenity melody raindrop tranquil escape noise everyday life,0.2263,Positive
236,Microsoft," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",curiosity,08-05-2022 8:45, SeekerOfUnknowns  ,Instagram, #Curiosity #SeekerOfKnowledge            ,22,45, UK            ,2022,5,8,8,Neutral,Curiosity,curiosity driving exploration unknown seeker knowledge uncharted territory,0.2263,Positive
237,ApexLegends," Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",indifference,22-02-2023 17:00, NonchalantWanderer,Facebook, #Indifference #DriftingThroughLife       ,9,18, India         ,2023,2,22,17,Neutral,Indifference,drifting day air nonchalance indifferent triviality life,-0.3182,Negative
238,FIFA," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",confusion,05-06-2020 12:15, ShadowedSeeker    ,Twitter, #Confusion #LabyrinthOfThoughts          ,14,28, Australia    ,2020,6,5,12,Neutral,Confusion,lost labyrinth thought confusion casting shadow quest clarity,-0.2023,Negative
239,Borderlands," Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",numbness,30-11-2021 15:30, TurbulentShield   ,Instagram, #Numbness #EmotionalStorms               ,10,20, Canada        ,2021,11,30,15,Neutral,Numbness,wrapped cloak emotional numbness shield storm life turbulence,-0.128,Negative
240,CallOfDutyBlackopsColdWar," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",melancholy,25-02-2019 21:00, WistfulPainter    ,Facebook, #Melancholy #WistfulYearning             ,13,26, UK            ,2019,2,25,21,Other,Melancholy,melancholy companion painting canvas life brushstrokes wistful yearning,-0.34,Negative
241,Amazon," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",nostalgia,18-05-2017 14:45, TaleWeaver        ,Twitter, #Nostalgia #PhotoAlbumStories            ,12,25, USA          ,2017,5,18,14,Other,Nostalgia,leafing page old photo album nostalgia weaving tale laughter tear,0.4939,Positive
242,Overwatch," Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",ambivalence,05-08-2022 11:30, CrossroadsExplorer,Instagram, #Ambivalence #CrossroadsConfusion        ,15,30, Canada        ,2022,8,5,11,Neutral,Ambivalence,ambivalence air caught crossroad conflicting emotion decision,-0.4019,Negative
243,Xbox(Xseries)," Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",acceptance,15-06-2023 16:20, MosaicArtist      ,Facebook, #Acceptance #UnpredictableArt            ,18,36, Australia    ,2023,6,15,16,Neutral,Acceptance,embracing beauty imperfection finding acceptance mosaic life unpredictable art,0.7783,Positive
244,NBA2K," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",determination,10-10-2021 14:45, DreamSculptor     ,Twitter, #Determination #SculptingDreams          ,20,40, UK            ,2021,10,10,14,Other,Determination,determination ablaze forging path challenge sculpting dream tangible reality,0.6124,Positive
245,Dota19," Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",serenity,12-05-2020 19:30, MoonlitSoul       ,Instagram, #Serenity #MoonlitPeace                  ,25,50, USA          ,2020,5,12,19,Positive,Serenity,immerse serenity moonlit night quiet whisper nature bring peace soul,0.5423,Positive
246,PlayStation5(PS5)," Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",curiosity,01-12-2022 9:15, FearlessExplorer  ,Facebook, #Curiosity #FearlessExplorer              ,22,44, India         ,2022,12,1,9,Neutral,Curiosity,fueled curiosity venturing uncharted realm fearless explorer mystery world,0.4404,Positive
247,WorldOfCraft,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",numbness,30-11-2021 15:30, TurbulentShield ,Instagram, #Numbness #EmotionalStorms ,10,20, Canada ,2021,11,30,15,Neutral,Numbness,wrapped cloak emotional numbness shield storm life turbulence,-0.128,Negative
248,Google," Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",zest,12-07-2018 17:45, JoyfulDancer ,Twitter, #Zest #CarefreeSpirit ,15,30, USA ,2018,7,12,17,Other,Zest,dancing life exuberance carefree spirit embracing joy zest every turn,0.802,Positive
249,Facebook," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",contentment,05-09-2020 20:10, SereneBasker ,Facebook, #Contentment #GoldenGlow ,18,36, Australia ,2020,9,5,20,Positive,Contentment,basking golden glow contentment serene river flowing landscape heart,0.8658,Positive
250,Microsoft," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",hopeful,18-04-2022 8:00, DreamPainter ,Instagram, #Hopeful #CanvasOfDreams ,12,24, India ,2022,4,18,8,Other,Hopeful,gazing towards horizon hopeful eye painting canvas dream illuminated sun optimism,0.8316,Positive
251,ApexLegends," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",proud,10-12-2019 12:20, OakAchiever ,Twitter, #Proud #BranchesOfAchievement ,25,50, Canada ,2019,12,10,12,Other,Proud,standing tall proud oak branch achievement reaching towards sky accomplishment,0.5994,Positive
252,FIFA," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",grateful,28-02-2023 9:45, HeartGardener ,Facebook, #Grateful #BlossomingConnection ,20,40, USA ,2023,2,28,9,Other,Grateful,heart overflowing gratitude garden appreciation bloom soil kindness connection,0.93,Positive
253,Borderlands," Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",empathetic,03-04-2018 14:15, ThreadWeaver ,Instagram, #Empathetic #TapestryOfUnderstanding ,15,30, UK ,2018,4,3,14,Other,Empathetic,extending hand empathetic thread weaving tapestry understanding embracing joy sorrow others,0.743,Positive
254,CallOfDutyBlackopsColdWar," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",compassionate,20-06-2022 10:30, CloudCaretaker ,Twitter, #Compassionate #ShowerOfEmpathy ,18,36, Australia ,2022,6,20,10,Other,Compassionate,compassionate cloud heavy care showering empathy parched ground human suffering,0.5106,Positive
255,Amazon," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",playful,08-07-2020 18:00, RainDancer ,Facebook, #Playful #DanceInTheRain ,22,44, Canada ,2020,7,8,18,Other,Playful,playfully dancing rain laughter whimsical spirit twirling puddle joy lightheartedness,0.891,Positive
256,Overwatch," Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",free-spirited,15-08-2021 11:10, SkyPainter ,Instagram, #FreeSpirit #PaintingTheSky ,20,40, India ,2021,8,15,11,Other,Free-Spirited,soaring wing free spirit unburdened chain conformity painting sky independence,0.6124,Positive
257,Xbox(Xseries)," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",inspired,25-10-2019 16:50, PhoenixExplorer ,Twitter, #Inspired #CreativePhoenix ,15,30, UK ,2019,10,25,16,Other,Inspired,bathed glow inspiration creative phoenix rising ash ordinary thought explore new realm,0.743,Positive
258,NBA2K," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",hopeful,05-10-2023 7:30, SunriseNavigator ,Facebook, #Hopeful #SunriseOfPossibilities ,12,24, USA ,2023,10,5,7,Other,Hopeful,navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,0.8779,Positive
259,Dota20," Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",confident,15-02-2022 13:15, SandStrider ,Instagram, #Confident #FootprintsOfAssuredness ,25,50, Australia ,2022,2,15,13,Other,Confident,striding confidence footprint selfassuredness imprinted sand challenge conquered victory claimed,0.5574,Positive
260,PlayStation5(PS5)," Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",serenity,08-05-2021 22:00, NightSerenader ,Twitter, #Serenity #MoonlitSerenade ,13,26, Canada ,2021,5,8,22,Positive,Serenity,lost symphony night moonlit serenade whisper tale wanderlust moonlit dream,-0.0772,Negative
261,WorldOfCraft," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",curiosity,29-11-2020 14:45, KnowledgeSeeker ,Instagram, #Curiosity #LabyrinthOfQuestions ,17,34, USA ,2020,11,29,14,Neutral,Curiosity,unveiling layer curiosity labyrinth question leading treasure trove undiscovered knowledge,0.296,Positive
262,Google," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",ambivalence,14-09-2019 10:20, BreezeWaltzer ,Facebook, #Ambivalence #AutumnWaltz ,14,28, UK ,2019,9,14,10,Neutral,Ambivalence,embrace autumn breeze leaf ambivalence dancing waltz choice uncertainty,-0.0258,Neutral
263,Facebook," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",grateful,12-03-2022 19:55, StarNavigator ,Twitter, #Grateful #GuidingStar ,19,38, Australia ,2022,3,12,19,Other,Grateful,gratitude guiding star navigating constellation blessing vast universe life precious moment,0.8807,Positive
264,Microsoft," With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",zest,30-03-2023 16:30, MeadowSprinter ,Instagram, #Zest #FieldsOfEnthusiasm ,16,32, India ,2023,3,30,16,Other,Zest,zestful heart sprinting field enthusiasm chasing sunbeam laughter meadow joy,0.9337,Positive
265,ApexLegends," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",compassionate,01-07-2021 12:10, RainNurturer ,Facebook, #Compassionate #TearsOfEmpathy ,21,42, Canada ,2021,7,1,12,Other,Compassionate,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.891,Positive
266,FIFA," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proud,05-01-2020 8:45, PeakConqueror ,Twitter, #Proud #ScalingPeaks ,23,46, USA ,2020,1,5,8,Other,Proud,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.8225,Positive
267,Borderlands," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",hopeful,17-07-2022 6:15, DawnGardener ,Instagram, #Hopeful #SeedsOfOptimism ,14,28, UK ,2022,7,17,6,Other,Hopeful,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.8555,Positive
268,CallOfDutyBlackopsColdWar," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",playful,22-08-2018 17:20, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24,48, Australia ,2018,8,22,17,Other,Playful,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.9042,Positive
269,Amazon," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",inspired,08-12-2021 14:30, SkyArtist ,Twitter, #Inspired #CloudsOfCreativity ,18,36, India ,2021,12,8,14,Other,Inspired,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,0.9231,Positive
270,Overwatch," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",contentment,27-04-2019 9:50, RiverNavigator ,Instagram, #Contentment #TranquilWaters ,20,40, Canada ,2019,4,27,9,Positive,Contentment,navigating river contentment serene boat cruise tranquil water inner peace acceptance,0.9042,Positive
271,Xbox(Xseries)," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",empathetic,03-09-2023 21:40, LanternWanderer ,Facebook, #Empathetic #LanternOfCompassion ,16,32, USA ,2023,9,3,21,Other,Empathetic,empathy lantern wandering dark alley sorrow illuminating path compassion care,0.4215,Positive
272,NBA2K," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",free-spirited,10-06-2020 10:05, DreamSoarer ,Twitter, #FreeSpirit #WingsOfDreams ,22,44, UK ,2020,6,10,10,Other,Free-Spirited,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,0.7184,Positive
273,Dota21," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",grateful,01-04-2022 18:30, SunsetAdmirer ,Instagram, #Grateful #GoldenHues ,19,38, Australia ,2022,4,1,18,Other,Grateful,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,0.9118,Positive
274,PlayStation5(PS5)," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",confident,15-01-2021 13:00, DanceStrider ,Facebook, #Confident #DanceOfLife ,23,46, Canada ,2021,1,15,13,Other,Confident,confident stride dance life ballroom selfassuredness lead twirling challenge grace,0.743,Positive
275,WorldOfCraft," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",hopeful,06-05-2023 7:20, WindWhisperer ,Twitter, #Hopeful #BrighterTomorrows ,15,30, India ,2023,5,6,7,Other,Hopeful,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,0.8934,Positive
276,Google," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",playful,18-11-2019 15:15, JugglingArtist ,Instagram, #Playful #JugglingResponsibilities ,25,50, USA ,2019,11,18,15,Other,Playful,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,0.8625,Positive
277,Facebook," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",inspired,29-08-2020 20:45, StarStoryteller ,Facebook, #Inspired #TalesToTheStars ,14,28, UK ,2020,8,29,20,Other,Inspired,whispering tale inspiration star storyteller crafting constellation thread imagination,0.5267,Positive
278,Microsoft," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",hopeful,30-10-2022 11:40, WaveNavigator ,Twitter, #Hopeful #SailorOfDreams ,17,34, Australia ,2022,10,30,11,Other,Hopeful,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored,0.6908,Positive
279,ApexLegends," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",compassionate,01-07-2021 12:10, RainNurturer ,Instagram, #Compassionate #TearsOfEmpathy ,21,42, Canada ,2021,7,1,12,Other,Compassionate,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.891,Positive
280,FIFA," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proud,05-01-2020 8:45, PeakConqueror ,Twitter, #Proud #ScalingPeaks ,23,46, USA ,2020,1,5,8,Other,Proud,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.8225,Positive
281,Borderlands," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",hopeful,17-07-2022 6:15, DawnGardener ,Instagram, #Hopeful #SeedsOfOptimism ,14,28, UK ,2022,7,17,6,Other,Hopeful,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.8555,Positive
282,CallOfDutyBlackopsColdWar," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",playful,22-08-2018 17:20, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24,48, Australia ,2018,8,22,17,Other,Playful,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.9042,Positive
283,Amazon," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",inspired,08-12-2021 14:30, SkyArtist ,Twitter, #Inspired #CloudsOfCreativity ,18,36, India ,2021,12,8,14,Other,Inspired,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,0.9231,Positive
284,Overwatch," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",contentment,27-04-2019 9:50, RiverNavigator ,Instagram, #Contentment #TranquilWaters ,20,40, Canada ,2019,4,27,9,Positive,Contentment,navigating river contentment serene boat cruise tranquil water inner peace acceptance,0.9042,Positive
285,Xbox(Xseries)," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",empathetic,03-09-2023 21:40, LanternWanderer ,Facebook, #Empathetic #LanternOfCompassion ,16,32, USA ,2023,9,3,21,Other,Empathetic,empathy lantern wandering dark alley sorrow illuminating path compassion care,0.4215,Positive
286,NBA2K," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",free-spirited,10-06-2020 10:05, DreamSoarer ,Twitter, #FreeSpirit #WingsOfDreams ,22,44, UK ,2020,6,10,10,Other,Free-Spirited,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,0.7184,Positive
287,Dota22," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",grateful,01-04-2022 18:30, SunsetAdmirer ,Instagram, #Grateful #GoldenHues ,19,38, Australia ,2022,4,1,18,Other,Grateful,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,0.9118,Positive
288,PlayStation5(PS5)," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",confident,15-01-2021 13:00, DanceStrider ,Facebook, #Confident #DanceOfLife ,23,46, Canada ,2021,1,15,13,Other,Confident,confident stride dance life ballroom selfassuredness lead twirling challenge grace,0.743,Positive
289,WorldOfCraft," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",hopeful,06-05-2023 7:20, WindWhisperer ,Twitter, #Hopeful #BrighterTomorrows ,15,30, India ,2023,5,6,7,Other,Hopeful,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,0.8934,Positive
290,Google," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",playful,18-11-2019 15:15, JugglingArtist ,Instagram, #Playful #JugglingResponsibilities ,25,50, USA ,2019,11,18,15,Other,Playful,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,0.8625,Positive
291,Facebook," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",inspired,29-08-2020 20:45, StarStoryteller ,Facebook, #Inspired #TalesToTheStars ,14,28, UK ,2020,8,29,20,Other,Inspired,whispering tale inspiration star storyteller crafting constellation thread imagination,0.5267,Positive
292,Microsoft," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",hopeful,30-10-2022 11:40, WaveNavigator ,Twitter, #Hopeful #SailorOfDreams ,17,34, Australia ,2022,10,30,11,Other,Hopeful,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored,0.6908,Positive
293,ApexLegends," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",compassionate,01-07-2021 12:10, RainNurturer ,Instagram, #Compassionate #TearsOfEmpathy ,21,42, Canada ,2021,7,1,12,Other,Compassionate,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.891,Positive
294,FIFA," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proud,05-01-2020 8:45, PeakConqueror ,Twitter, #Proud #ScalingPeaks ,23,46, USA ,2020,1,5,8,Other,Proud,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.8225,Positive
295,Borderlands," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",hopeful,17-07-2022 6:15, DawnGardener ,Instagram, #Hopeful #SeedsOfOptimism ,14,28, India ,2022,7,17,6,Other,Hopeful,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.8555,Positive
296,CallOfDutyBlackopsColdWar," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",playful,22-08-2018 17:20, CarnivalDreamer ,Facebook, #Playful #CarnivalEscapade ,24,48, Australia ,2018,8,22,17,Other,Playful,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.9042,Positive
297,Amazon," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",despair,15-09-2021 16:00, ShatteredHeart ,Instagram, #Despair #EchoingSilence ,8,16, Canada ,2021,9,15,16,Negative,Despair,drowning abyss despair heart shattered fragment lost echoing silence hopelessness,-0.765,Negative
298,Overwatch," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",bitterness,08-03-2019 14:20, VenomousSoul ,Facebook, #Bitterness #ResentmentWeb ,12,24, UK ,2019,3,8,14,Negative,Bitterness,bitterness festering like venomous vine entwining soul web resentment poisoning garden peace,-0.5267,Negative
299,Xbox(Xseries)," Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",loneliness,20-07-2017 11:45, DesertWanderer ,Twitter, #Loneliness #MiragesOfConnection ,15,30, USA ,2017,7,20,11,Negative,Loneliness,wandering desert loneliness step heavy sigh mirage connection shimmering never materializing,-0.4019,Negative
300,NBA2K," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",yearning,02-11-2020 19:30, ColdEmbrace ,Instagram, #Yearning #DistantWarmth ,10,20, Australia ,2020,11,2,19,Other,Yearning,yearning touch thats echo distant warmth haunting heart cold embrace solitude,0.836,Positive
301,Dota23," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",fearful,12-05-2022 2:00, NightPrisoner ,Facebook, #Fearful #ImaginedHorrors ,18,36, India ,2022,5,12,2,Other,Fearful,eye wide open night fearful shadow dancing wall mind prisoner imagined horror,-0.886,Negative
302,PlayStation5(PS5)," Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",apprehensive,08-04-2023 13:15, TightropeWalker ,Twitter, #Apprehensive #BalancingAct ,14,28, UK ,2023,4,8,13,Other,Apprehensive,apprehensive step tightrope uncertainty balancing act fall seems inevitable anxiety constant companion,-0.4767,Negative
303,WorldOfCraft," Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",overwhelmed,25-06-2021 17:50, AtlasBearer ,Instagram, #Overwhelmed #BouldersOfExhaustion ,22,44, Canada ,2021,6,25,17,Other,Overwhelmed,overwhelmed weight world atlas trembling shoulder responsibility boulder landscape exhaustion,-0.5859,Negative
304,Google," Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",jealous,30-08-2019 10:10, GreenMonster ,Facebook, #Jealous #GreenEyedMonster ,16,32, USA ,2019,8,30,10,Other,Jealous,jealousy greeneyed monster lurking shadow casting dark cloud sunshine others success,0.6249,Positive
305,Facebook," Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",devastated,03-08-2022 15:30, StormSurvivor ,Twitter, #Devastated #WindsOfBrokenPromises ,25,50, Australia ,2022,8,3,15,Other,Devastated,devastated storm betrayal wreckage trust scattered like debris heart torn wind broken promise,-0.1531,Negative
306,Microsoft," Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",frustrated,17-12-2020 9:20, PuzzleComposer ,Instagram, #Frustrated #UnsolvablePuzzle ,12,24, India ,2020,12,17,9,Other,Frustrated,frustrated finger tapping keyboard symphony annoyance composing unsolvable puzzle unmet expectation,-0.6908,Negative
307,ApexLegends," Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",envious,28-02-2021 22:45, GildedHeartache ,Facebook, #Envious #GildedPrize ,20,40, USA ,2021,2,28,22,Other,Envious,envious eye fixated gilded prize heartache fueled painful desire possession seem forever reach,0.2732,Positive
308,FIFA," Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",dismissive,10-05-2018 14:00, IndifferentFort ,Twitter, #Dismissive #ImpenetrableWalls ,14,28, UK ,2018,5,10,14,Other,Dismissive,dismissive glance fortress built indifference wall impenetrable plea understanding recognition,-0.0516,Negative
309,Borderlands," Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",frustrated,07-01-2022 11:10, DreamMosaic ,Instagram, #Frustrated #MosaicOfDisappointment ,15,30, Canada ,2022,1,7,11,Other,Frustrated,shattered dream lie floor like fragment glass mosaic disappointment crafted hand frustration,-0.4215,Negative
310,CallOfDutyBlackopsColdWar," Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",loneliness,19-09-2019 3:30, NocturnalEcho ,Facebook, #Loneliness #SolitaryNocturne ,18,36, Australia ,2019,9,19,3,Negative,Loneliness,loneliness silent companion night echo chamber solitude heart solitary nocturne,0.34,Positive
311,Amazon," Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",fearful,14-07-2023 23:00, DarkWhispers ,Twitter, #Fearful #SpecterOfTheUnknown ,13,26, UK ,2023,7,14,23,Other,Fearful,fearful whisper dark mind haunted specter unknown shadow dancing rhythm anxiety tune,-0.7906,Negative
312,Overwatch," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",bitterness,05-04-2020 16:20, LingeringTaste ,Instagram, #Bitterness #BitterAftertaste ,10,20, India ,2020,4,5,16,Negative,Bitterness,bitterness bitter aftertaste lingering tongue word reminder wound refuse heal passing time,-0.7717,Negative
313,Xbox(Xseries)," Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",overwhelmed,29-11-2021 8:45, TempestSurvivor ,Facebook, #Overwhelmed #DrowningSoul ,20,40, USA ,2021,11,29,8,Other,Overwhelmed,overwhelmed cacophony expectation drowning soul tempest pressure struggling stay afloat,-0.5859,Negative
